"","x"
"serum_copper",77.26
"serum_zinc",77.26
"serum_iron",0.35
"serum_selenium",77.26
"smoking",57.33
"drinking",37.72
"BMI",1.25
"sedentary_time",0.72
"CVD",0.48
"hypertension",0.12
"diabetes",0.07
"cancer",0.04
