"","Missing","Percentage"
"serum_copper",11774,77.26
"serum_zinc",11775,77.26
"serum_iron",53,0.35
"serum_selenium",11775,77.26
"smoking",8737,57.33
"drinking",5749,37.72
"BMI",191,1.25
"sedentary_time",110,0.72
"CVD",73,0.48
"hypertension",18,0.12
"diabetes",10,0.07
"cancer",6,0.04
