"","Estimate","CI_Lower","CI_Upper","p_value"
"ACME",-0.0000781201597740643,-0.0000997056133654376,-0.0000596980960304309,0
"ADE",-0.000089340872450801,-0.000173584009093284,-0.00000492730859216637,0.042
"Total_Effect",-0.000167461032224865,-0.000252635135892225,-0.0000828722541898493,0
"Prop_Mediated",0.466497541166265,0.30078862137725,0.939013152631796,0
