"","Estimate","CI_Lower","CI_Upper","p_value"
"ACME",-0.0000128103565009509,-0.000066591031357929,0.0000336005351314688,0.596
"ADE",0.000119123414285153,-0.000186928919658432,0.000447089590984864,0.462
"Total_Effect",0.000106313057784202,-0.000204272986101329,0.000445846662648397,0.494
"Prop_Mediated",-0.120496548288112,-2.09652350420517,1.14823067261658,0.862
