"","Estimate","CI_Lower","CI_Upper","p_value"
"ACME",0.0000666548877603651,0.0000245818681448003,0.00012108301691647,0
"ADE",0.000370811336350099,0.000187712808707548,0.000564443829576937,0
"Total_Effect",0.000437466224110464,0.000246824165511589,0.000648979399967709,0
"Prop_Mediated",0.152365792115494,0.0567428624907792,0.299644335655742,0
