"","Estimate","CI_Lower","CI_Upper","p_value"
"ACME",-0.000164788390825307,-0.000255308508848343,-0.0000933732463043008,0
"ADE",0.000659013841591782,0.000276652915327033,0.00107685184416202,0
"Total_Effect",0.000494225450766476,0.000138866370863994,0.000902898687265861,0.008
"Prop_Mediated",-0.333427569482192,-1.12065778687759,-0.133247452394296,0.008
