"","Estimate","CI_Lower","CI_Upper","p_value"
"ACME",0.00000415622366077532,-0.000029196697538372,0.0000499755894058929,0.774
"ADE",0.000102156834123428,-0.000245510116571312,0.000433379136845006,0.556
"Total_Effect",0.000106313057784203,-0.000236039335151211,0.000443306253119162,0.542
"Prop_Mediated",0.0390941973394437,-0.92676649354494,0.933199862376331,0.84
