"","Estimate","CI_Lower","CI_Upper","p_value"
"ACME",-0.0000781740908510617,-0.000100862837314706,-0.0000555917913188968,0
"ADE",-0.0000892869413738032,-0.000172598142635921,-0.000000962691397822369,0.05
"Total_Effect",-0.000167461032224865,-0.000251367966227874,-0.0000770893519267663,0
"Prop_Mediated",0.466819592668522,0.278343959994146,0.989286061641901,0
