"","Estimate","CI_Lower","CI_Upper","p_value"
"ACME",-0.0000724231656015736,-0.000130163830989498,-0.0000304440275447238,0
"ADE",0.00056664861636805,0.000190753941819479,0.000942527660453883,0.002
"Total_Effect",0.000494225450766476,0.00010404837104233,0.000877230603582482,0.014
"Prop_Mediated",-0.146538721324964,-0.616770612478374,-0.0462221048066178,0.014
