"","Estimate","CI_Lower","CI_Upper","p_value"
"ACME",0.0000263178365528693,0.00000123188262235523,0.000056991828455213,0.04
"ADE",0.000411148387557597,0.000222237848594486,0.000621602197154136,0
"Total_Effect",0.000437466224110466,0.000246000879698396,0.000647627820178727,0
"Prop_Mediated",0.0601596994291008,0.00324372518562454,0.151282423292046,0.04
